"Date","Price","Open","High","Low","Vol.","Change %"
"22-11-2007","6,701.81","6,701.81","6,701.81","6,701.81","","-0.75%"
"21-11-2007","6,752.41","6,752.41","6,752.41","6,752.41","","-3.80%"
"20-11-2007","7,019.36","7,019.36","7,019.36","7,019.36","","-2.15%"
"19-11-2007","7,173.27","7,173.27","7,173.27","7,173.27","","0.01%"
"16-11-2007","7,172.31","7,172.31","7,172.31","7,172.31","","-0.09%"
"15-11-2007","7,178.71","7,178.71","7,178.71","7,178.71","","-0.43%"
"14-11-2007","7,209.99","7,209.99","7,209.99","7,209.99","","4.26%"
"13-11-2007","6,915.56","6,915.56","6,915.56","6,915.56","","1.39%"
"12-11-2007","6,820.50","6,820.50","6,820.50","6,820.50","","-0.81%"
"09-11-2007","6,876.51","6,876.51","6,876.51","6,876.51","","-0.62%"
"08-11-2007","6,919.65","6,919.65","6,919.65","6,919.65","","-1.45%"
"07-11-2007","7,021.12","7,021.12","7,021.12","7,021.12","","-0.05%"
"06-11-2007","7,024.91","7,024.91","7,024.91","7,024.91","","-1.04%"
"05-11-2007","7,098.67","7,098.67","7,098.67","7,098.67","","-1.43%"
"02-11-2007","7,202.01","7,202.01","7,202.01","7,202.01","","1.12%"
"01-11-2007","7,121.96","7,121.96","7,121.96","7,121.96","","-0.58%"
"31-10-2007","7,163.30","7,163.30","7,163.30","7,163.30","","0.54%"
"30-10-2007","7,124.58","7,124.58","7,124.58","7,124.58","","-0.63%"
"29-10-2007","7,169.67","7,169.67","7,169.67","7,169.67","","3.57%"
"26-10-2007","6,922.50","6,922.50","6,922.50","6,922.50","","2.39%"
"25-10-2007","6,760.63","6,760.63","6,760.63","6,760.63","","1.33%"
"24-10-2007","6,671.70","6,671.70","6,671.70","6,671.70","","0.41%"
"23-10-2007","6,644.48","6,644.48","6,644.48","6,644.48","","5.59%"
"22-10-2007","6,292.55","6,292.55","6,292.55","6,292.55","","-0.59%"
"19-10-2007","6,330.03","6,330.03","6,330.03","6,330.03","","-6.18%"
"18-10-2007","6,746.99","6,746.99","6,746.99","6,746.99","","0.00%"
"17-10-2007","6,746.99","6,746.99","6,746.99","6,746.99","","-1.92%"
"16-10-2007","6,878.92","6,878.92","6,878.92","6,878.92","","-0.04%"
"15-10-2007","6,881.82","6,881.82","6,881.82","6,881.82","","4.46%"
"12-10-2007","6,587.90","6,587.90","6,587.90","6,587.90","","-1.75%"
"11-10-2007","6,705.13","6,705.13","6,705.13","6,705.13","","1.53%"
